Screen_name,Statuses
securenet,1097784
DonPlaticador,1106069
r4s_,2771277
FreeSiteReport,1023958
atmark99,1033838
2ch_matome,1108980
PSP_,1020914
Latios_bot,1328675
aidsmgfind,1057641
oryzae_bot,1020048
Favstar250,1042245
kousaku13gou,1042259
NewAndroidApps,1070790
tajarz,1127627
info_Ve,1491121
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
null,null
